title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
My Love for My Roommate Is One-Sided,Reading,,94,2025-59-17,"同居人に片思いしてる百合漫画,Doukyonin ni Kataomoi Shiteru Yuri Manga,My Crush Is My Roommate",,,
The Sweet Life of a Reincarnation Pro,Reading,,81,2024-53-12,"How the Pro in His Past Life Sucks the Sweet Honey,Sweet Honey of the Reincarnated Pro,전생의 프로가 꿀 빠는 법,転生のプロが甘い蜜を吸う方法,Former pro lives an Easy Life,How a Former Pro takes advantage by doing an easy job,Le pro de la réincarnation,转生专家躺赢的方法,プロ転生者が甘い汁を吸う方法,ชีวิตหวานหมูของมือโปรกลับชาติมาเกิด,Mein 101. Leben als Prinz,Jeonsaengui Pro-ga Kkul Ppaneun Beop,How a Former Pro Takes Advantage by Doing an Easy Job",https://myanimelist.net/manga/163146,https://anilist.co/manga/168383,https://www.mangaupdates.com/series/w9w1a61
Shitsurenshita node Vtuber Hajimetara Toshiue no Onee-san ni Motemashita,Reading,,8,2025-51-13,"失恋したのでVtuberはじめたら年上のお姉さんにモテました,Shitsurenshita node Vtuber Hajimetara Toshiue no Onee-san ni Motemashita,I Was Heartbroken, So I Became A VTuber, But Then I Became Popular with the Older Ladies,Tuyệt vọng vì thất tình, tôi quyết định trở thành Vtuber vang danh,失恋后开始做虚拟主播迷倒年上大姐姐",https://myanimelist.net/manga/171507,https://anilist.co/manga/160373,https://www.mangaupdates.com/series/msu6nwo
"My Brothers, the Protagonists",Reading,,,2025-49-24,"주인공의 여동생이다,I'm the Protagonist's Younger Sister,She’s the Protagonist’s Sister,My Brothers, the Protagonists,The Protagonist's Younger Sister,The Protagonist’s Younger Sister,兄たちが主人公となって戻ってきました,She's the Protagonist's Sister",https://myanimelist.net/manga/156083,,https://www.mangaupdates.com/series/hcizt0b
The Perks of Being an S-Class Heroine,Reading,,99,2025-21-26,"빙의자를 위한 특혜,Preference for the Possessor,Preferential Treatment for the Possessed Person,為附身者的特惠,穿越者的特權,Binguijareul Wihan Teukye,A Spirit's Special Treatment,为附身者的特惠,Privilegios de los poseedores,Ma réincarnation « all inclusive »,O privilégio de uma transmigrante,El privilegio de una transmigrante,憑依者の特典,สิทธิพิเศษของผู้สวมร่าง,穿越者的幸运礼,穿越者的專屬特權,Keuntungan bagi Sang Perasuk,A Transmigrator's Privilege,Привілеї попаданки",https://myanimelist.net/manga/149578,https://anilist.co/manga/147586,https://www.mangaupdates.com/series/198510
The Ranker's Guide to Living an Ordinary Life,Reading,,,2025-50-26,"A Guide to the Right Life for Rankers,랭커를 위한 바른 생활 안내서,A Ranker's Guide to the Good Life,The Rankers Guide to Live an Ordinary Life,Raengkoreul Wihan Bareun Saenghwal Annaeso,The Ranker's Guide to Live an Ordinary Life,คู่มือการใช้ชีวิตให้ถูกต้องสำหรับแรงเกอร์,ランカーのための正しい生活ガイド,排名者的正确生活指南,랭커를 위한 바른 생활 안내서",https://myanimelist.net/manga/168863,https://anilist.co/manga/180114,https://www.mangaupdates.com/series/g094ipi
I Got My Wish and Reincarnated as the Villainess (Last Boss)!,Reading,,,2025-51-26,"念願の悪役令嬢（ラスボス）の身体を手に入れたぞ！,Nengan no Akuyaku Reijo (Last Boss) no Karada o Te ni Ireta zo!",https://myanimelist.net/manga/163770,https://anilist.co/manga/175294,https://www.mangaupdates.com/series/flyyzzg
Noa-senpai wa Tomodachi.,Reading,,48.5,2025-08-06,"노아 선배는 친구,のあ先輩はともだち。,Моя подруга Ноа-сэмпай,Noa-senpai is My Friend.,望爱前辈是朋友,Noa is My Senior, and My Friend.,Манӑн тус Нува асли,Моя подруга Ноа-сэмпай.",https://myanimelist.net/manga/161060,https://anilist.co/manga/167423,https://www.mangaupdates.com/series/0e58ldj
The Exclusive Contractor's Quitting Chronicles,Reading,,2,2025-29-26,"The Exclusive Contractor's Quitting Chronicles,공무원 헌터의 S급 퇴사일지,Civil Servant Hunter's S-Class Resignation Log",https://myanimelist.net/manga/171490,https://anilist.co/manga/176769,https://www.mangaupdates.com/series/ryx8zz7
Demon Devourer,Reading,,,2025-02-28,"재능 삼킨 마법사,El Mago Devorador de Talentos,Talent-Swallowing Magician,Mago Traga-Talentos,Le Dévoreur de démons,才能を喰らった魔法使い,有才能的魔法师,Jaeneung Samkin Mabeopsa,Talent Swallowing Magician,The Mage Who Absorbs Abilities",https://myanimelist.net/manga/149465,https://anilist.co/manga/144079,https://www.mangaupdates.com/series/193750
